group,metric,analysis_role,scope,phase,input_source,output_column_or_pattern,exact_formula,unit,undefined_policy
hard_input,note_count,gate,first8,v1,input_melody,first8_note_count,Count quantized note starts t with 0<=t<8,notes,Always defined; zero for no onsets
hard_input,active_coverage,gate,first8,v1,input_melody,first8_active_coverage,Length of union of clipped note intervals intersecting [0;8) divided by 8,fraction,Always defined; zero for no active notes
hard_input,leading_blank,gate,first8,v1,input_melody,first8_leading_blank_beats,Minimum quantized onset in [0;8); 8 when there is no onset,quarter-note beats,Always defined
hard_input,chord_onset_ratio,gate,first8,v1,input_melody,first8_chord_onset_ratio,Number of distinct quantized onset positions carrying more than one note divided by number of nonempty onset positions,fraction,NaN when there is no onset
hard_input,polyphonic_active_ratio,gate,first8,v1,input_melody,first8_polyphonic_active_ratio,Number of 0.25-beat cells overlapped by more than one active note divided by 32,fraction,Always defined
melody,horizon,secondary,full,v1,input_melody,full_horizon_beats,Maximum quantized Melody note end measured from MIDI beat zero,quarter-note beats,Zero when there are no notes
melody,onset_note_density,primary,first8,v1,input_melody,first8_onset_note_density,Number of note starts in [0;8) divided by 8,notes per beat,Always defined
melody,distinct_onset_density,primary,first8,v1,input_melody,first8_distinct_onset_density,Number of distinct quantized onset positions in [0;8) divided by 8,onsets per beat,Always defined
melody,peak_onset_rate_4beat,primary,first8,v1,input_melody,first8_peak_onset_rate_4beat,Maximum note-start count in any 4-beat window stepped by 0.25 beat divided by 4,notes per beat,Always defined
melody,peak_onset_rate_8beat,primary,first8,v1,input_melody,first8_peak_onset_rate_8beat,Maximum note-start count in any 8-beat window stepped by 0.25 beat divided by 8,notes per beat,Always defined
melody,ioi_stats,primary,first8,v1,input_melody,first8_{ioi_median|ioi_p10|ioi_p90|ioi_cv},Median and 10th/90th percentiles of positive differences between successive distinct quantized onsets plus population SD divided by mean,quarter-note beats or CV ratio,NaN with fewer than two distinct onsets; CV also NaN for nonpositive mean
melody,duration_stats,primary,first8,v1,input_melody,first8_{duration_median|duration_p10|duration_p90|duration_cv},Median and 10th/90th percentiles of note durations clipped to [0;8) plus population SD divided by mean,quarter-note beats or CV ratio,NaN with no overlapping notes; CV also NaN for nonpositive mean
melody,one_step_duration_rate,primary,first8,v1,input_melody,first8_one_step_duration_rate,Fraction of clipped note durations less than or equal to 0.25 beat,fraction,NaN with no overlapping notes
melody,active_coverage,primary,first8,v1,input_melody,first8_active_coverage,Length of union of clipped note intervals intersecting [0;8) divided by 8,fraction,Always defined
melody,empty_beat_rate,primary,first8,v1,input_melody,first8_empty_beat_rate,Number of integer beat cells in [0;8) with no active note overlap divided by 8,fraction,Always defined
melody,longest_onset_gap,primary,first8,v1,input_melody,first8_longest_onset_gap,Maximum gap after adding window edges 0 and 8 to distinct onset positions,quarter-note beats,Equals 8 with no onset
melody,pitch_stats,primary,first8,v1,input_melody,first8_{pitch_range|robust_pitch_range|pitch_median|pitch_std},Max-minus-min; p95-minus-p05; median; and population SD of pitches starting in [0;8),semitones or MIDI pitch,NaN with no onset notes
melody,interval_stats,primary,first8,v1,input_melody,first8_{abs_interval_median|abs_interval_p90|leap_gt7_rate|leap_gt12_rate},Median and p90 of absolute intervals between median pitches at successive onset positions plus fractions strictly over 7 and 12 semitones,semitones or fraction,NaN with fewer than two distinct onsets; leap rates are descriptive only
melody,pitch_class_entropy,primary,first8,v1,input_melody,first8_pitch_class_entropy,Shannon entropy of duration-weighted pitch-class probabilities after clipping divided by log(12),normalized entropy [0;1],NaN with zero active duration
